t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
1 30 30 0 0 0 0 108 0 0 0 0 0 0  142
2 30 30 0 0 0 0 108 0 0 0 0 0 0  119
3 30 30 0 0 0 0 108 0 0 0 0 0 0  122
4 30 30 0 0 0 0 108 0 0 0 0 0 0  158
5 30 30 0 0 0 0 108 0 0 0 0 0 0  132
6 30 30 0 0 0 0 108 0 0 0 0 0 0  157
7 30 30 0 0 0 0 108 0 0 0 0 0 0  131
8 30 30 0 0 0 0 108 0 0 0 0 0 0  156
9 30 30 0 0 0 0 108 0 0 0 0 0 0  121
10 30 30 0 0 0 0 108 0 0 0 0 0 0  125
11 30 30 0 0 0 0 108 0 0 0 0 0 0  119
12 30 30 0 0 0 0 108 0 0 0 0 0 0  128
13 30 30 0 0 0 0 108 0 0 0 0 0 0  151
14 30 30 0 0 0 0 108 0 0 0 0 0 0  152
15 30 30 0 0 0 0 108 0 0 0 0 0 0  145
16 30 30 0 0 0 0 108 0 0 0 0 0 0  146
17 30 30 0 0 0 0 108 0 0 0 0 0 0  150
18 30 30 0 0 0 0 108 0 0 0 0 0 0  108
19 30 30 0 0 0 0 108 0 0 0 0 0 0  111
20 30 30 0 0 0 0 108 0 0 0 0 0 0  131
21 30 30 0 0 0 0 108 0 0 0 0 0 0  132
22 30 30 0 0 0 0 108 0 0 0 0 0 0  116
23 30 30 0 0 0 0 108 0 0 0 0 0 0  110
24 30 30 0 0 0 0 108 0 0 0 0 0 0  145
25 30 30 0 0 0 0 108 0 0 0 0 0 0  151
26 30 30 0 0 0 0 108 0 0 0 0 0 0  157
27 30 30 0 0 0 0 108 0 0 0 0 0 0  110
28 30 30 0 0 0 0 108 0 0 0 0 0 0  114
29 30 30 0 0 0 0 50 0 0 0 0 0 0  65
30 30 30 0 0 0 0 50 0 0 0 0 0 0  95
31 30 30 0 0 0 0 50 0 0 0 0 0 0  97
32 30 30 0 0 0 0 50 0 0 0 0 0 0  99
33 30 30 0 0 0 0 50 0 0 0 0 0 0  55
34 30 30 0 0 0 0 50 0 0 0 0 0 0  61
35 30 30 0 0 0 0 50 0 0 0 0 0 0  99
36 30 30 0 0 0 0 50 0 0 0 0 0 0  80
37 30 30 0 0 0 0 50 0 0 0 0 0 0  60
38 30 30 0 0 0 0 50 0 0 0 0 0 0  71
39 30 30 0 0 0 0 50 0 0 0 0 0 0  77
40 30 30 0 0 0 0 50 0 0 0 0 0 0  73
41 30 30 0 0 0 0 50 0 0 0 0 0 0  89
42 30 30 0 0 0 0 50 0 0 0 0 0 0  89
43 30 30 0 0 0 0 50 0 0 0 0 0 0  94
44 30 30 0 0 0 0 50 0 0 0 0 0 0  81
45 30 30 0 0 0 0 50 0 0 0 0 0 0  83
46 30 30 0 0 0 0 50 0 0 0 0 0 0  80
47 30 30 0 0 0 0 50 0 0 0 0 0 0  69
48 30 30 0 0 0 0 50 0 0 0 0 0 0  74
49 30 30 0 0 0 0 50 0 0 0 0 0 0  80
50 30 30 0 0 0 0 50 0 0 0 0 0 0  73
51 30 30 0 0 0 0 50 0 0 0 0 0 0  97
52 30 30 0 0 0 0 50 0 0 0 0 0 0  54
53 30 30 0 0 0 0 50 0 0 0 0 0 0  81
54 30 30 0 0 0 0 50 0 0 0 0 0 0  99
55 30 30 0 0 0 0 50 0 0 0 0 0 0  91
56 30 30 0 0 0 0 50 0 0 0 0 0 0  74
57 30 30 0 0 0 0 50 0 0 0 0 0 0  98
58 30 30 0 0 0 0 50 0 0 0 0 0 0  93
59 30 30 0 0 0 0 50 0 0 0 0 0 0  81
60 30 30 0 0 0 0 50 0 0 0 0 0 0  62
61 30 30 0 0 0 0 50 0 0 0 0 0 0  87
62 30 30 0 0 0 0 50 0 0 0 0 0 0  78
63 30 30 0 0 0 0 50 0 0 0 0 0 0  61
64 30 30 0 0 0 0 50 0 0 0 0 0 0  93
65 30 30 0 0 0 0 50 0 0 0 0 0 0  90
66 30 30 0 0 0 0 50 0 0 0 0 0 0  59
67 30 30 0 0 0 0 50 0 0 0 0 0 0  72
68 30 30 0 0 0 0 50 0 0 0 0 0 0  100
69 30 30 0 0 0 0 50 0 0 0 0 0 0  80
70 30 30 0 0 0 0 50 0 0 0 0 0 0  99
71 30 30 0 0 0 0 50 0 0 0 0 0 0  73
72 30 30 0 0 0 0 50 0 0 0 0 0 0  68
73 30 30 0 0 0 0 50 0 0 0 0 0 0  87
74 30 30 0 0 0 0 50 0 0 0 0 0 0  66
75 30 30 0 0 0 0 50 0 0 0 0 0 0  100
76 30 30 0 0 0 0 50 0 0 0 0 0 0  69
77 30 30 0 0 0 0 50 0 0 0 0 0 0  97
78 30 30 0 0 0 0 50 0 0 0 0 0 0  69
79 30 30 0 0 0 0 50 0 0 0 0 0 0  93
80 30 30 0 0 0 0 50 0 0 0 0 0 0  76
81 30 30 0 0 0 0 50 0 0 0 0 0 0  92
82 30 30 0 0 0 0 50 0 0 0 0 0 0  90
83 30 30 0 0 0 0 50 0 0 0 0 0 0  81
84 30 30 0 0 0 0 50 0 0 0 0 0 0  73
85 30 30 0 0 0 0 50 0 0 0 0 0 0  88
86 30 30 0 0 0 0 50 0 0 0 0 0 0  71
87 30 30 0 0 0 0 108 0 0 0 0 0 0  156
88 30 30 0 0 0 0 108 0 0 0 0 0 0  143
89 30 30 0 0 0 0 108 0 0 0 0 0 0  121
90 30 30 0 0 0 0 108 0 0 0 0 0 0  136
91 30 30 0 0 0 0 108 0 0 0 0 0 0  156
92 30 30 0 0 0 0 108 0 0 0 0 0 0  158
93 30 30 0 0 0 0 108 0 0 0 0 0 0  114
94 30 30 0 0 0 0 108 0 0 0 0 0 0  116
95 30 30 0 0 0 0 108 0 0 0 0 0 0  151
96 30 30 0 0 0 0 108 0 0 0 0 0 0  154
97 30 30 0 0 0 0 108 0 0 0 0 0 0  125
98 30 30 0 0 0 0 108 0 0 0 0 0 0  122
99 30 30 0 0 0 0 108 0 0 0 0 0 0  153
100 30 30 0 0 0 0 108 0 0 0 0 0 0  156
101 30 30 0 0 0 0 108 0 0 0 0 0 0  121
102 30 30 0 0 0 0 108 0 0 0 0 0 0  126
103 30 30 0 0 0 0 108 0 0 0 0 0 0  124
104 30 30 0 0 0 0 108 0 0 0 0 0 0  108
105 30 30 0 0 0 0 108 0 0 0 0 0 0  143
106 30 30 0 0 0 0 108 0 0 0 0 0 0  124
107 30 30 0 0 0 0 108 0 0 0 0 0 0  128
108 30 30 0 0 0 0 108 0 0 0 0 0 0  139
109 30 30 0 0 0 0 108 0 0 0 0 0 0  143
110 30 30 0 0 0 0 108 0 0 0 0 0 0  120
111 30 30 0 0 0 0 108 0 0 0 0 0 0  115
112 30 30 0 0 0 0 108 0 0 0 0 0 0  134
113 30 30 0 0 0 0 108 0 0 0 0 0 0  110
114 30 30 0 0 0 0 108 0 0 0 0 0 0  146
115 30 30 0 0 0 0 108 0 0 0 0 0 0  158
116 30 30 0 0 0 0 108 0 0 0 0 0 0  149
117 30 30 0 0 0 0 108 0 0 0 0 0 0  117
118 30 30 0 0 0 0 108 0 0 0 0 0 0  155
119 30 30 0 0 0 0 108 0 0 0 0 0 0  133
120 30 30 0 0 0 0 108 0 0 0 0 0 0  130
121 30 30 0 0 0 0 108 0 0 0 0 0 0  133
122 30 30 0 0 0 0 108 0 0 0 0 0 0  131
123 30 30 0 0 0 0 108 0 0 0 0 0 0  130
124 30 30 0 0 0 0 108 0 0 0 0 0 0  139
125 30 30 0 0 0 0 108 0 0 0 0 0 0  139
126 30 30 0 0 0 0 108 0 0 0 0 0 0  122
127 30 30 0 0 0 0 108 0 0 0 0 0 0  134
128 30 30 0 0 0 0 108 0 0 0 0 0 0  157
129 30 30 0 0 0 0 108 0 0 0 0 0 0  137
130 30 30 0 0 0 0 108 0 0 0 0 0 0  129
131 30 30 0 0 0 0 108 0 0 0 0 0 0  155
132 30 30 0 0 0 0 108 0 0 0 0 0 0  150
133 30 30 0 0 0 0 108 0 0 0 0 0 0  147
134 30 30 0 0 0 0 108 0 0 0 0 0 0  121
135 30 30 0 0 0 0 50 0 0 0 0 0 0  92
136 30 30 0 0 0 0 50 0 0 0 0 0 0  73
137 30 30 0 0 0 0 50 0 0 0 0 0 0  79
138 30 30 0 0 0 0 50 0 0 0 0 0 0  61
139 30 30 0 0 0 0 50 0 0 0 0 0 0  54
140 30 30 0 0 0 0 50 0 0 0 0 0 0  63
141 30 30 0 0 0 0 50 0 0 0 0 0 0  74
142 30 30 0 0 0 0 50 0 0 0 0 0 0  62
143 30 30 0 0 0 0 50 0 0 0 0 0 0  90
144 30 30 0 0 0 0 50 0 0 0 0 0 0  76
145 30 30 0 0 0 0 50 0 0 0 0 0 0  50
146 30 30 0 0 0 0 50 0 0 0 0 0 0  89
147 30 30 0 0 0 0 50 0 0 0 0 0 0  66
148 30 30 0 0 0 0 50 0 0 0 0 0 0  59
149 30 30 0 0 0 0 50 0 0 0 0 0 0  86
150 30 30 0 0 0 0 50 0 0 0 0 0 0  92
151 30 30 0 0 0 0 50 0 0 0 0 0 0  81
152 30 30 0 0 0 0 50 0 0 0 0 0 0  60
153 30 30 0 0 0 0 50 0 0 0 0 0 0  64
154 30 30 0 0 0 0 50 0 0 0 0 0 0  53
155 30 30 0 0 0 0 50 0 0 0 0 0 0  91
156 30 30 0 0 0 0 50 0 0 0 0 0 0  96
157 30 30 0 0 0 0 50 0 0 0 0 0 0  68
158 30 30 0 0 0 0 50 0 0 0 0 0 0  67
159 30 30 0 0 0 0 50 0 0 0 0 0 0  95
160 30 30 0 0 0 0 50 0 0 0 0 0 0  97
